Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RaceName,EventDate,Round,FinishPosition,Points
0 days 01:12:57.726000,NOR,4,117.099,1.0,1.0,,,,20.913,54.007,,0 days 01:12:03.826000,0 days 01:12:57.784000,242.0,284.0,269.0,227.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 01:11:00.355000,2025-03-16 04:18:22.974,124,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:15:47.663000,NOR,4,,2.0,1.0,,0 days 01:15:36.644000,58.907,38.076,72.905,0 days 01:13:56.774000,0 days 01:14:34.847000,0 days 01:15:47.721000,68.0,223.0,,242.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 01:12:57.726000,2025-03-16 04:20:20.345,4,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:18:29.359000,NOR,4,,3.0,2.0,0 days 01:15:50.143000,0 days 01:18:18.691000,56.498,34.215,71.01,0 days 01:16:44.192000,0 days 01:17:18.529000,0 days 01:18:29.450000,84.0,149.0,,184.0,False,INTERMEDIATE,3.0,False,McLaren,0 days 01:15:47.663000,2025-03-16 04:23:10.282,4,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:21:05.355000,NOR,4,,4.0,3.0,0 days 01:18:31.544000,0 days 01:20:54.690000,55.356,32.664,68.033,0 days 01:19:24.745000,0 days 01:19:57.424000,0 days 01:21:05.559000,83.0,239.0,,188.0,False,INTERMEDIATE,4.0,False,McLaren,0 days 01:18:29.359000,2025-03-16 04:25:51.978,4,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:23:29.003000,NOR,4,143.648,5.0,4.0,0 days 01:21:07.473000,,53.992,31.669,57.987,0 days 01:21:59.405000,0 days 01:22:31.074000,0 days 01:23:29.061000,89.0,144.0,260.0,186.0,False,INTERMEDIATE,5.0,False,McLaren,0 days 01:21:05.355000,2025-03-16 04:28:27.974,4,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:25:49.426000,NOR,4,140.423,6.0,4.0,,,48.236,33.814,58.373,0 days 01:24:17.297000,0 days 01:24:51.111000,0 days 01:25:49.484000,154.0,186.0,247.0,180.0,True,INTERMEDIATE,6.0,False,McLaren,0 days 01:23:29.003000,2025-03-16 04:30:51.622,4,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:28:06.534000,NOR,4,137.108,7.0,4.0,,,46.009,30.022,61.077,0 days 01:26:35.493000,0 days 01:27:05.515000,0 days 01:28:06.592000,146.0,147.0,274.0,218.0,True,INTERMEDIATE,7.0,False,McLaren,0 days 01:25:49.426000,2025-03-16 04:33:12.045,41,1.0,False,,False,False,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:29:42.812000,NOR,4,96.278,8.0,4.0,,,34.845,20.542,40.891,0 days 01:28:41.437000,0 days 01:29:01.979000,0 days 01:29:42.870000,252.0,289.0,277.0,276.0,True,INTERMEDIATE,8.0,False,McLaren,0 days 01:28:06.534000,2025-03-16 04:35:29.153,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:31:17.450000,NOR,4,94.638,9.0,4.0,,,34.182,19.932,40.524,0 days 01:30:17.052000,0 days 01:30:36.984000,0 days 01:31:17.508000,255.0,290.0,279.0,281.0,True,INTERMEDIATE,9.0,False,McLaren,0 days 01:29:42.812000,2025-03-16 04:37:05.431,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:32:49.580000,NOR,4,92.13,10.0,4.0,,,32.775,19.521,39.834,0 days 01:31:50.283000,0 days 01:32:09.804000,0 days 01:32:49.638000,258.0,289.0,279.0,280.0,True,INTERMEDIATE,10.0,False,McLaren,0 days 01:31:17.450000,2025-03-16 04:38:40.069,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:34:21.769000,NOR,4,92.189,11.0,4.0,,,32.971,19.542,39.676,0 days 01:33:22.609000,0 days 01:33:42.151000,0 days 01:34:21.827000,,291.0,278.0,278.0,False,INTERMEDIATE,11.0,False,McLaren,0 days 01:32:49.580000,2025-03-16 04:40:12.199,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:35:53.547000,NOR,4,91.778,12.0,4.0,,,33.041,19.428,39.309,0 days 01:34:54.868000,0 days 01:35:14.296000,0 days 01:35:53.605000,,289.0,280.0,284.0,True,INTERMEDIATE,12.0,False,McLaren,0 days 01:34:21.769000,2025-03-16 04:41:44.388,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:37:24.865000,NOR,4,91.318,13.0,4.0,,,32.701,19.369,39.248,0 days 01:36:26.306000,0 days 01:36:45.675000,0 days 01:37:24.923000,260.0,290.0,280.0,279.0,True,INTERMEDIATE,13.0,False,McLaren,0 days 01:35:53.547000,2025-03-16 04:43:16.166,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:38:55.660000,NOR,4,90.795,14.0,4.0,,,32.293,19.273,39.229,0 days 01:37:57.216000,0 days 01:38:16.489000,0 days 01:38:55.718000,261.0,288.0,281.0,282.0,True,INTERMEDIATE,14.0,False,McLaren,0 days 01:37:24.865000,2025-03-16 04:44:47.484,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:40:25.886000,NOR,4,90.226,15.0,4.0,,,32.127,19.243,38.856,0 days 01:39:27.845000,0 days 01:39:47.088000,0 days 01:40:25.944000,264.0,290.0,281.0,281.0,True,INTERMEDIATE,15.0,False,McLaren,0 days 01:38:55.660000,2025-03-16 04:46:18.279,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:41:55.838000,NOR,4,89.952,16.0,4.0,,,31.957,19.167,38.828,0 days 01:40:57.901000,0 days 01:41:17.068000,0 days 01:41:55.896000,262.0,292.0,282.0,,True,INTERMEDIATE,16.0,False,McLaren,0 days 01:40:25.886000,2025-03-16 04:47:48.505,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
0 days 01:43:26.102000,NOR,4,90.264,17.0,4.0,,,31.99,19.045,39.229,0 days 01:42:27.886000,0 days 01:42:46.931000,0 days 01:43:26.160000,264.0,293.0,281.0,284.0,False,INTERMEDIATE,17.0,False,McLaren,0 days 01:41:55.838000,2025-03-16 04:49:18.457,1,1.0,False,,False,True,Australian Grand Prix,2025-03-16,1,1.0,25.0
