Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RaceName,EventDate,Round,FinishPosition,Points
0 days 01:13:01.467000,PIA,81,120.807,1.0,1.0,,,,20.844,56.056,,0 days 01:12:05.490000,0 days 01:13:01.556000,244.0,298.0,267.0,226.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 01:11:00.355000,2025-03-16 04:18:22.974,124,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:15:50.986000,PIA,81,,2.0,1.0,,0 days 01:15:40.060000,58.462,37.621,73.46,0 days 01:14:00.139000,0 days 01:14:37.662000,0 days 01:15:51.065000,67.0,197.0,,191.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 01:13:01.467000,2025-03-16 04:20:24.086,4,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:18:33.336000,PIA,81,,3.0,2.0,0 days 01:15:53.106000,0 days 01:18:21.675000,56.776,33.402,72.129,0 days 01:16:47.888000,0 days 01:17:21.286000,0 days 01:18:33.504000,61.0,233.0,,163.0,False,INTERMEDIATE,3.0,False,McLaren,0 days 01:15:50.986000,2025-03-16 04:23:13.605,4,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:21:08.974000,PIA,81,,4.0,3.0,0 days 01:18:35.632000,0 days 01:20:58.263000,54.05,33.43,68.245,0 days 01:19:27.526000,0 days 01:20:00.922000,0 days 01:21:09.117000,96.0,233.0,,160.0,False,INTERMEDIATE,4.0,False,McLaren,0 days 01:18:33.336000,2025-03-16 04:25:55.955,4,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:23:32.129000,PIA,81,143.155,5.0,4.0,0 days 01:21:11.064000,,53.433,32.176,57.546,0 days 01:22:02.486000,0 days 01:22:34.662000,0 days 01:23:32.208000,87.0,199.0,252.0,189.0,False,INTERMEDIATE,5.0,False,McLaren,0 days 01:21:08.974000,2025-03-16 04:28:31.593,4,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:25:52.002000,PIA,81,139.873,6.0,4.0,,,48.116,33.226,58.531,0 days 01:24:20.324000,0 days 01:24:53.550000,0 days 01:25:52.081000,122.0,178.0,191.0,132.0,True,INTERMEDIATE,6.0,False,McLaren,0 days 01:23:32.129000,2025-03-16 04:30:54.748,4,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:28:07.571000,PIA,81,135.569,7.0,4.0,,,45.77,30.859,58.94,0 days 01:26:37.851000,0 days 01:27:08.710000,0 days 01:28:07.650000,132.0,221.0,277.0,231.0,True,INTERMEDIATE,7.0,False,McLaren,0 days 01:25:52.002000,2025-03-16 04:33:14.621,41,3.0,False,,False,False,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:29:44.822000,PIA,81,97.251,8.0,4.0,,,35.144,20.025,42.082,0 days 01:28:42.794000,0 days 01:29:02.819000,0 days 01:29:44.901000,256.0,301.0,279.0,257.0,True,INTERMEDIATE,8.0,False,McLaren,0 days 01:28:07.571000,2025-03-16 04:35:30.190,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:31:19.400000,PIA,81,94.578,9.0,4.0,,,34.085,19.805,40.688,0 days 01:30:18.986000,0 days 01:30:38.791000,0 days 01:31:19.479000,,293.0,281.0,273.0,True,INTERMEDIATE,9.0,False,McLaren,0 days 01:29:44.822000,2025-03-16 04:37:07.441,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:32:52.072000,PIA,81,92.672,10.0,4.0,,,33.169,19.497,40.006,0 days 01:31:52.648000,0 days 01:32:12.145000,0 days 01:32:52.151000,258.0,294.0,282.0,280.0,True,INTERMEDIATE,10.0,False,McLaren,0 days 01:31:19.400000,2025-03-16 04:38:42.019,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:34:24.031000,PIA,81,91.959,11.0,4.0,,,32.814,19.223,39.922,0 days 01:33:24.965000,0 days 01:33:44.188000,0 days 01:34:24.110000,264.0,297.0,281.0,271.0,True,INTERMEDIATE,11.0,False,McLaren,0 days 01:32:52.072000,2025-03-16 04:40:14.691,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:35:55.321000,PIA,81,91.29,12.0,4.0,,,32.66,18.929,39.701,0 days 01:34:56.770000,0 days 01:35:15.699000,0 days 01:35:55.400000,262.0,315.0,294.0,274.0,True,INTERMEDIATE,12.0,False,McLaren,0 days 01:34:24.031000,2025-03-16 04:41:46.650,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
0 days 01:37:26.698000,PIA,81,91.377,13.0,4.0,,,32.68,18.981,39.716,0 days 01:36:28.080000,0 days 01:36:47.061000,0 days 01:37:26.777000,265.0,314.0,292.0,,False,INTERMEDIATE,13.0,False,McLaren,0 days 01:35:55.321000,2025-03-16 04:43:17.940,1,3.0,False,,False,True,Australian Grand Prix,2025-03-16,1,9.0,2.0
